id,product_url,color,size,width,brand_name,model_name,is_tbyb,tags,is_ditto,classification,specifications,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,hashtagList,arModelAndroidUrl,qty,subCollection,subCollectionId,isCygnusEnabled,searchProductName,Market_Price,Lenskart_Price
201546,https://www.lenskart.com/lenskart-air-la-e11491-c9-eyeglasses.html,Red,Extra Narrow,128 mm,Lenskart Air Online,LA E11491,False,Air Flex,True,eyeframe,[],0,4279,4.7,37.0,"Extra Narrow,Round,Lenskart Air Online,Full Rim",https://lookr-static.lenskart.com/frameassets/201546/android/sku_201546.glb,52,Refresher_Mar23,26922.0,False,Red Full Rim Round Eyeglasses,1700,1700
213100,https://www.lenskart.com/lenskart-blu-lr-e15859-c2b-eyeglasses.html,Brown,Medium,136 mm,Lenskart READERS,LR E15859,False,+1.25 (Prefitted),False,non_power_reading,[],0,346,0.0,,"Medium,Rectangle,Lenskart READERS,Full Rim",,555,,,False,,500,500
136386,https://www.lenskart.com/gunmetal-black-blue-full-rim-square-medium-size-56-john-jacobs-jj-tints-jj-s12803-c1-sunglasses.html,Grey,Wide,140 mm,John Jacobs,JJ S12803,False,John Jacobs,True,sunglasses,[],1315,5587,4.9,16.0,"Wide,Square,John Jacobs,Full Rim",https://lookr-static.lenskart.com/frameassets/136386/android/sku_136386.glb,1314,JJ Tints,26651.0,True,Grey Hexagonal Full Rim Sunglasses,3500,3500
142517,https://www.lenskart.com/john-jacobs-jj-e13344-c1-eyeglasses.html,Grey,Medium,136 mm,John Jacobs,JJ E13344,False,John Jacobs,True,eyeframe,[],1442,5008,4.8,12.0,"Medium,Round,John Jacobs,Full Rim",https://lookr-static.lenskart.com/frameassets/142517/android/sku_142517.glb,1372,Rich Acetate,26361.0,True,Grey Brown Full Rim Round Eyeglasses,3500,3500
209533,https://www.lenskart.com/vincent-chase-vc-s15800-c2-sunglasses.html,Gold,Wide,141 mm,Vincent Chase,VC S15800,False,Fashion Essentials,True,sunglasses,[],0,526,0.0,,"Wide,Square,Vincent Chase,Full Rim",https://lookr-static.lenskart.com/frameassets/209533/android/sku_209533.glb,42,Fashion Essentials,26961.0,True,Rectangle/ Square Full Rim Sunglasses,1000,1000
212914,https://www.lenskart.com/vincent-chase-vc-s-16469-c2-sunglasses.html,Gold,Medium,139 mm,Vincent Chase Polarized,VC S16469,False,Wedding Edit,True,sunglasses,[],0,703,0.0,,"Medium,Cat Eye,Vincent Chase Polarized,Full Rim",https://lookr-static.lenskart.com/frameassets/212914/android/sku_212914.glb,352,WEDDING EDIT,27511.0,True,Gold Pink Full Rim Cat eye Vincent Chase Polarized Wedding Edit VC S16469-C2 Sunglasses,2000,2000
213091,https://www.lenskart.com/john-jacobs-jj-s16497-c1-sunglasses.html,Brown,Extra Wide,143 mm,John Jacobs,JJ S16497,False,JJ X Sobhita,False,sunglasses,[],0,326,0.0,,"Extra Wide,Cat Eye,John Jacobs,Full Rim",https://lookr-static.lenskart.com/frameassets/213091/android/sku_213091.glb,711,JJ X Shobita,27391.0,True,Brown Cat Eye Full Rim Sunglasses,5000,5000
213240,https://www.lenskart.com/vincent-chase-vc-s16539-c2-sunglasses.html,Gold,Narrow,134 mm,Vincent Chase Polarized,VC S16539,False,Fashion Essentials 2.0,False,sunglasses,[],0,186,0.0,,"Narrow,Round,Vincent Chase Polarized,Full Rim",,1248,Fashion Essentials 2.0,27721.0,False,,1500,1500
213271,https://www.lenskart.com/vincent-chase-vc-s16552-c3-sunglasses.html,Green,Extra Narrow,130 mm,Vincent Chase Polarized,VC S16552,False,Future Classics,False,sunglasses,[],0,193,0.0,,"Extra Narrow,Cat Eye,Vincent Chase Polarized,Full Rim",https://lookr-static.lenskart.com/frameassets/213271/android/sku_213271.glb,1090,Future Classics,27571.0,True,,2000,2000
152159,https://www.lenskart.com/lenskart-readers-lr-e13701-c2-d-eyeglasses.html,Grey,Medium,135 mm,Lenskart READERS,LR E13701,False,+2.5 (Prefitted),True,non_power_reading,[],0,5151,4.9,12.0,"Medium,Rectangle,Lenskart READERS,Full Rim",,118,,,True,Grey Transparent Full Rim Rectangle Eyeglasses,500,500
