Product ID,Product Brand Name,Product Model Name,Product Color,Product Market Price,Product Lenskart Price,Product Size,Product Width,Product Availability,Product Average Rating,Product Purchase Count,Product Wishlist Count,Product Total Number of Ratings,Product Tags,Product Color Options,Product Classification,Product Search Name,Product URL
209441,John Jacobs,JJ S15786,Grey,6000,6000,Extra Wide,144 mm,61,0.0,719,0,NA,JJ X Masaba,[],sunglasses,Rectangle Full Rim Sunglasses,https://www.lenskart.com/john-jacobs-jj-s15786-c3-sunglasses.html
212622,Lenskart Blu,LB E16410,Brown,1500,1500,Extra Wide,146 mm,212,0.0,212,0,NA,BLUE BILLION,[],non_power_reading,NA,https://www.lenskart.com/lenskart-blu-lb-e16410-c2-eyeglasses.html
212621,Lenskart Blu,LB E16410,Grey,1500,1500,Extra Wide,146 mm,187,0.0,249,0,NA,BLUE BILLION,[],non_power_reading,NA,https://www.lenskart.com/lenskart-blu-lb-e16410-c1-eyeglasses.html
212876,Vincent Chase,VC E16459,Gold,1700,1700,Medium,136 mm,595,0.0,67,0,NA,Future Classics,[],eyeframe,NA,https://www.lenskart.com/vincent-chase-vc-e16459-c2-eyeglasses.html
213481,John Jacobs,JJ E15780,Black,5000,5000,Wide,141 mm,268,0.0,809,0,NA,John Jacobs,[],eyeframe,Gold Transparent Full Rim Round John Jacobs  JJ E15780-C1 Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e15780-c1-dup-eyeglasses.html
215247,John Jacobs,JJ E16617,Brown,3500,3500,Wide,141 mm,1008,0.0,38,0,NA,John Jacobs,[],eyeframe,John Jacobs Tortoise Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e16617-c1-eyeglasses.html
215251,John Jacobs,JJ E16619,Tortoise,3500,3500,Medium,137 mm,696,0.0,37,0,NA,John Jacobs,[],eyeframe,NA,https://www.lenskart.com/john-jacobs-jj-e16619-c1-eyeglasses.html
133009,John Jacobs,JJ E10266,Black,3500,3500,Wide,139 mm,420,4.4,8255,1903,72,John Jacobs,[],eyeframe,Pro Titanium Grey Full Rim Aviator Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e10266-c5-full-rim-aviator-eyeglasses.html
137503,John Jacobs,JJ S12969,Gold,5000,5000,Extra Wide,143 mm,53,4.7,1671,850,7,John Jacobs,[],sunglasses,Gold Aviator Half Rim Sunglasses,https://www.lenskart.com/john-jacobs-jj-s12969-c1-sunglasses.html
142519,John Jacobs Online,JJ E13344,Grey,3500,3500,Medium,136 mm,834,4.8,2927,1268,12,John Jacobs,[],eyeframe,Grey Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13344-c3-eyeglasses.html
142520,John Jacobs,JJ E13345,Brown,3500,3500,Wide,138 mm,879,4.55,2887,780,7,John Jacobs,[],eyeframe,Tortoise Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13345-c1-eyeglasses.html
144600,John Jacobs,JJ E12717,Brown,3500,3500,Wide,140 mm,523,4.55,2776,736,14,John Jacobs,[],eyeframe,Brown Grey Transparent Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e12717-c4-eyeglasses.html
147380,John Jacobs Computer Glasses,JJ E13464,Silver,4000,4000,Wide,139 mm,73,4.7,1006,5741,NA,John Jacobs,[],eyeframe,NA,https://www.lenskart.com/john-jacobs-jj-e13464-c3-smartphone-pc-eyeglasses.html
148208,John Jacobs,JJ S13988,Green,3500,3500,Wide,140 mm,197,0.0,1090,154,NA,John Jacobs,[],sunglasses,Green Square Full Rim Sunglasses,https://www.lenskart.com/john-jacobs-john-jacobs-jj-s13988-full-rim-c3-sunglasses.html
152562,Hooper,HP S10113,Blue,1000,1000,8-12 yrs,135 mm,23,5.0,2013,0,4,Hooper Sunnies,[],sunglasses,Blue Transparent Round Full Rim Sunglasses,https://www.lenskart.com/hooper-hp-s10113-c3-sunglasses.html
204351,Hooper online,HP E10063S,Blue,1000,1000,2-5 yrs,118 mm,5,5.0,1516,0,4,Hooper Memphis,[],eyeframe,Green Transparent Full Rim Round Eyeglasses,https://www.lenskart.com/hooper-hp-e10063s-c6-eyeglasses.html
209148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.lenskart.com/alcon-freshlook-oneday-allr-blue10-lens-box.html
210279,Vincent Chase,VC E11803,Purple,1700,1700,Narrow,131 mm,2773,0.0,68,0,NA,HD Acetate,[],eyeframe,Vincent Chase VC E11803 C10 Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e11803-c10-eyeglasses.html
211324,Vincent Chase Polarized,VC S16142,Blue,1500,1500,Wide,141 mm,976,0.0,494,0,NA,Holiday Edit,[],sunglasses,Blue Cat Eye Full Rim Sunglasses,https://www.lenskart.com/vincent-chase-vc-s16142-c1-sunglasses.html
212109,John Jacobs,JJ E16288,Silver,3500,3500,Medium,134 mm,844,0.0,154,0,NA,John Jacobs,[],eyeframe,Silver Cat Eye Rimless Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e16288-c1-eyeglasses.html
213275,Vincent Chase Polarized,VC S16554,Black,2000,2000,Narrow,132 mm,1380,0.0,143,0,NA,Future Classics,[],sunglasses,Gunmetal Black Grey Grey Full Rim Aviator Vincent Chase Polarized Future Classics VC S16554-C2 Sunglasses,https://www.lenskart.com/vincent-chase-vc-s16554-c2-sunglasses.html
147613,John Jacobs,JJ E13939,Gunmetal,5000,5000,Extra Wide,149 mm,6,0.0,887,86,NA,John Jacobs,[],eyeframe,Gunmetal Full Rim Round Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e13939-c2-eyeglasses.html
150885,John Jacobs,JJ E14419,Black,3500,3500,Medium,135 mm,1,4.6,8944,0,10,John Jacobs,[],eyeframe,Black Transparent Full Rim Cat Eye Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e14419-c1-eyeglasses.html
152505,Hooper online,HP E10068L,Blue,1000,1000,8-12 yrs,125 mm,119,5.0,2943,0,4,Poppin Hooper,[],eyeframe,Blue Full Rim Rectangle Eyeglasses,https://www.lenskart.com/hooper-hp-e10068l-c1-eyeglasses.html
152525,Hooper online,HP E10027M,Blue,1000,1000,5-8 yrs,123 mm,60,4.3,1293,0,3,Poppin Hooper,[],eyeframe,Blue Full Rim Rectangle Eyeglasses,https://www.lenskart.com/hooper-hp-e10027m-c6-eyeglasses.html
152971,Hooper,HP E10063S,Blue,1000,1000,2-5 yrs,118 mm,54,5.0,2239,0,4,Gripzy Hooper,[],eyeframe,Blue Transparent Full Rim Round Eyeglasses,https://www.lenskart.com/hooper-hp-e10063s-c2-eyeglasses.html
200316,Hooper,HP S10120M,Blue,1000,1000,5-8 yrs,120 mm,131,0.0,1683,0,NA,Hooper Sunnies,[],sunglasses,Transparent Wayfarer Full Rim Sunglasses,https://www.lenskart.com/hooper-hp-s10120m-c2-sunglasses.html
200970,Hooper,HP S14907L,White,1000,1000,8-12 yrs,128 mm,201,0.0,1980,0,NA,Hooper Sunnies,[],sunglasses,White Round Full Rim Sunglasses,https://www.lenskart.com/hooper-hp-s14907l-c4-sunglasses.html
205312,John Jacobs,JJ E15136,Silver,6000,6000,Narrow,133 mm,7,4.0,1112,0,1,John Jacobs,[],eyeframe,Silver Full Rim Rectangle Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e15136-c2-eyeglasses.html
208082,John Jacobs,JJ S12502,Gold,5000,5000,Wide,138 mm,74,4.6,682,0,33,John Jacobs,[],sunglasses,Gold Aviator Full Rim Sunglasses,https://www.lenskart.com/john-jacobs-jj-s12502-c8-sunglasses.html
210073,Lenskart Blu,LB E13738,Purple,1500,1500,Medium,137 mm,47,0.0,482,0,NA,Zero Power,[],non_power_reading,Purple Full Rim Rectangle Eyeglasses,https://www.lenskart.com/lenskart-blu-lb-e13738-c8-eyeglasses.html
213464,John Jacobs,JJ E15780,Green,5000,5000,Wide,141 mm,95,0.0,801,0,NA,John Jacobs,[],eyeframe,Gold Blue Full Rim Round John Jacobs  JJ E15780-C2 Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e15780-c2-dup-eyeglasses.html
215342,John Jacobs,JJ S16635,Tortoise,5000,5000,Wide,141 mm,653,0.0,47,0,NA,John Jacobs,[],sunglasses,Grey Brown Tortoise Full Rim Round John Jacobs Eco-Acetate JJ S16635-C1 Sunglasses,https://www.lenskart.com/john-jacobs-jj-s16635-c1-sunglasses.html
150496,Vincent Chase,VC E14349,Blue,1700,1700,Medium,135 mm,1,4.6,6881,509,14,Blend Edit,[],eyeframe,Blue Full Rim Rectangle Eyeglasses,https://www.lenskart.com/vincent-chase-vc-e14349-c3-eyeglasses.html
151890,Vincent Chase Polarized,VC S14596,Red,2000,2000,Narrow,134 mm,38,4.75,2263,209,4,Havana,[],sunglasses,Maroon Round Full Rim Sunglasses,https://www.lenskart.com/vincent-chase-vc-s14596-c2-sunglasses.html
152064,John Jacobs,JJ E14642,Rose Gold,3500,3500,Wide,138 mm,520,0.0,287,0,NA,John Jacobs,[],eyeframe,Gold Full Rim Square Eyeglasses,https://www.lenskart.com/john-jacobs-jj-e14642-c3-eyeglasses.html
